species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,inhs,16405,preservedspecimen,4,united states,illinois,kaskaskia river 2 mi sw cooks mills at destroyed bridge north america,1956,39.56339,-88.43589,
Amblema plicata,inhs,16057,preservedspecimen,1,united states,kentucky,beech fork 2 mi s cravens 4.5 mi sw bardstown at bridge north america,1988,37.77978,-85.53837,
Amblema plicata,inhs,35836,preservedspecimen,1,united states,illinois,east fork lamoine river macomb glenwood park north america,2009,40.47966,-90.67085,
Amblema plicata,inhs,3511,preservedspecimen,2,united states,illinois,wabash river between mouth raccoon creek & little rock indiana north america,1987,38.50808,-87.6715,
Amblema plicata,inhs,22612,preservedspecimen,1,united states,illinois,embarras river 1.5 mi sw timothy north america,1998,39.29205,-88.15966,
Amblema plicata,uf,68872-mollusca,preservedspecimen,1,united states,arkansas,old river ouachita river arkadelphia,,,,
Amblema plicata,inhs,33442,preservedspecimen,1,united states,illinois,wabash river 2 mi e palestine 1.5 mi s riverton indiana north america,,39.0006,-87.5796,
Amblema plicata,inhs,14551,preservedspecimen,2,united states,arkansas,saline river 1.7 mi nne fenter nance ford north america,1993,34.3963,-92.62002,
Amblema plicata,inhs,33054,preservedspecimen,1,united states,illinois,illinois river 4.6 mi e griggsville river mile 62.6 north america,2002,39.72093,-90.63889,
Amblema plicata,inhs,24395,preservedspecimen,4,united states,illinois,kankakee river aroma park north america,2000,41.07481,-87.8028,
Amblema plicata,inhs,34805,preservedspecimen,1,united states,illinois,vermilion river 2 mi s streator access point in carriage lane estates rv park north america,2009,41.09126,-88.82815,
Amblema plicata,inhs,29196,preservedspecimen,1,united states,illinois,spoon river 0.5 mi ne seville hwy. 95 north america,2004,40.4908,-90.3396,
Amblema plicata,usnm,738541,preservedspecimen,12,united states,kansas,neosho river,1957,,,
Amblema plicata,usnm,756632,preservedspecimen,4,united states,illinois,5 mile n of mound city,1907,,,
Amblema plicata,usnm,217169,preservedspecimen,2,united states,ohio,cincinnati ohio river,,,,
Amblema plicata,inhs,33454,preservedspecimen,1,united states,illinois,wabash river 2 mi e palestine 1.5 mi s riverton indiana north america,,39.0006,-87.5796,
Amblema plicata,inhs,47181,preservedspecimen,1,united states,minnesota,buffalo slough 2.5 mi ese vermilion river north america,,44.60563,-92.62088,
Amblema plicata,inhs,79422,preservedspecimen,1,united states,minnesota,mississippi river 4 mi s cottage grove; nininger channel; multiple sites in lower pool 2 north america,2010,44.77046,-92.93181,
Amblema plicata,inhs,83239,preservedspecimen,1,united states,iowa,mississippi river 0.7 mi ene burlington pool 19 debris removal site along w bank river mile 404 north america,2015,40.80722,-91.09995,
Amblema plicata,inhs,84436,preservedspecimen,1,united states,iowa,mississippi river 3 mi downstream guttenberg marina pool 11 river mile 611.5 north america,,42.73699,-91.07372,
Amblema plicata,usnm,128303,preservedspecimen,4,united states,louisiana,bayou pierce gravel point,,,,
Amblema plicata,usnm,539369,preservedspecimen,3,united states,iowa,little sioux river cherokee,1912,,,
Amblema plicata,usnm,745797,preservedspecimen,2,united states,wisconsin,bergen township mississippi river crosby slough,1907,,,
Amblema plicata,usnm,123495,preservedspecimen,3,united states,louisiana,corney bayou,,,,
Amblema plicata,qm,mo11114,preservedspecimen,1,united states,,licking r butler kentucky,,,,
Amblema plicata,inhs,2362,preservedspecimen,1,united states,illinois,embarras river 2 mi s camargo north america,1986,39.76745,-88.17615,
Amblema plicata,inhs,8607,preservedspecimen,1,united states,illinois,salt fork vermilion river 2.5 mi n catlin above jct. with middle fork north america,1956,40.10374,-87.71812,
Amblema plicata,inhs,5316,preservedspecimen,1,united states,indiana,wabash river 0.75 mi sw fountain north america,1988,40.21739,-87.34687,
Amblema plicata,inhs,36914,preservedspecimen,2,united states,illinois,salt fork vermilion river 2 mi above homer park dam north america,1918,40.05571,-87.98783,
Amblema plicata,inhs,1150,preservedspecimen,6,united states,illinois,wabash river north america,,,,
Amblema plicata,uf,68803-mollusca,preservedspecimen,1,united states,pennsylvania,monongahela river charleroi,,,,
