species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,ncsm,33188,preservedspecimen,2,united states,alabama,big swamp creek at state highway 21 0.5 miles sw hayneville [hayneville quad].,1993,32.1724,-86.5954,
Amblema plicata,ncsm,33189,preservedspecimen,12,united states,tennessee,tennessee river trm 252 pippin towhead/sevenmile island [point estimated 2.5 air miles nw center tuscumbia] [tuscumbia quad].,1997,34.7483,-87.7316,
Amblema plicata,ncsm,33195,preservedspecimen,2,united states,arkansas,saint francis river us 64 bridge [2.3 air miles nw town of smithdale parkin quad].,1975,35.2736,-90.5602,
Amblema plicata,chas,17928,preservedspecimen,1,united states,illinois,no specific locality recorded,,,,
Amblema plicata,chas,21257,preservedspecimen,1,united states,new york,rochester erie canal wide waters lock 65,1904,,,
Amblema plicata,chas,1819,preservedspecimen,1,united states,,mississippi river,,,,
Amblema plicata,chas,17932,preservedspecimen,1,united states,ohio,cincinnati,,,,
Amblema plicata,chas,24035,preservedspecimen,1,united states,oklahoma,tonkawa chikaskia river,1908,,,
Amblema plicata,chas,17990,preservedspecimen,1,united states,iowa,mississippi river,,,,
Amblema plicata,dmns,22871,preservedspecimen,1,united states,ohio,east fork little miami river,1951,,,
Amblema plicata,usnm,677690,preservedspecimen,2,united states,indiana,; ; united states; indiana; wabash river; andrews.,,,,
Amblema plicata,usnm,853298,preservedspecimen,10,united states,new york,; ; united states; new york; palmyra erie canal,,,,
Amblema plicata,utep,12462,preservedspecimen,1,united states,texas,texas tech center at junction; e bank of south llano river,1992,30.4733333333,-99.7833333333,
Amblema plicata,utep,5162,preservedspecimen,1,united states,texas,san saba river 1.2 mi. nw voca,1977,31.01397,-99.20917,
Amblema plicata,ansp,a10672,preservedspecimen,1,united states,tennessee,nolichucky river mile 9.5 above thomas island,1980,36.116666,-87.183333,
Amblema plicata,ansp,a10739,preservedspecimen,1,united states,tennessee,thomas island nolichucky river mile 8.5,1980,36.133333,-87.25,
Amblema plicata,ansp,a12731,preservedspecimen,1,united states,alabama,bogue chitto creek at and below alabama route 22 bridge,1987,32.226666,-87.272222,
Amblema plicata,ansp,a17331,preservedspecimen,1,united states,arkansas,upriver from route 122 at ferry crossing about 2 miles north of oil trough white river,1991,35.630833,-91.460277,
Amblema plicata,ansp,467947,preservedspecimen,2,united states,alabama,tombigbee river just below bogue chitto creek; river mile 318.5; 1.5 mi nwâ of hwy. 17 bridge,1976,,,
Amblema plicata,usnm,172345,preservedspecimen,2,united states,michigan,; ; united states; michigan; st.joseph co.; papa l.,,,,
Amblema plicata,mcz,268497,preservedspecimen,1,united states,illinois,near the mouth of honey creek at the mississippi river,1965,,,
Amblema plicata,mcz,316083,preservedspecimen,1,united states,minnesota,"below dam phelps mill otter tail river",1995,,,
Amblema plicata,mcz,263098,preservedspecimen,1,united states,tennessee,16 mi. se of morristown 2486 bridge at tenn. rt. 3.5 mi. se of warrensburg nolichucky r.,1968,37.1583333333,-74.7916666667,
Amblema plicata,mcz,263444,preservedspecimen,1,united states,arkansas,ouachita r.,,,,
Amblema plicata,mcz,302209,preservedspecimen,1,united states,tennessee,east fork stones river 2mi. ese lascassas,,,,
Amblema plicata,mcz,268085,preservedspecimen,1,united states,missouri,osage river at osage city,1964,,,
Amblema plicata,cmn,cmnml 093361,preservedspecimen,1,,,,,,,
Amblema plicata,cmn,cmnml 056948,preservedspecimen,6,united states,tennessee,clinch river the "rounds" hancock co. tennessee,1930,36.578611,-82.981111,
Amblema plicata,cmn,cmnml 069386,preservedspecimen,2,united states,kansas,marais des cygnes riv. shoals below bridge 1½ mi. n rantoul,1943,38.576389,-95.102778,
Amblema plicata,cmn,cmnml 056947,preservedspecimen,4,united states,texas,texas,,,,
